Grade,Name,Days,GradeOrder,CreatedBy,Type,UsualSubject,UsualGrade,,,,,,,
K,Nursery Rhymes& Fables,17,1,CKF,Interdisciplinary,ELA,1,,,,,,,
K,The Five Senses,15,2,CKF,Interdisciplinary,Science,2,,,,,,,
K,Stories ,14,3,CKF,Interdisciplinary,,,,,,,,,
K,Plants,15,4,CKF,Interdisciplinary,,,,,,,,,
K,Farms,13,5,CKF,Interdisciplinary,,,,,,,,,
K,Native Americans,13,6,CKF,Interdisciplinary,,,,,,,,,
K,Kings & Queens,13,7,CKF,Interdisciplinary,,,,,,,,,
K,Seasons & Weather,13,8,CKF,Interdisciplinary,,,,,,,,,
K,Columbus & the Pilgrims,13,9,CKF,Interdisciplinary,,,,,,,,,
K,Colonial Towns & Townspeople,16,10,CKF,Interdisciplinary,,,,,,,,,
K,Taking Care of the Earth,14,11,CKF,Interdisciplinary,,,,,,,,,
K,Presidents & American Symbols,11,12,CKF,Interdisciplinary,,,,,,,,,
1,Fables & Stories,,1,CKF,Interdisciplinary,,,,,,,,,
1,The Human Body,,2,CKF,Interdisciplinary,,,,,,,,,
1,"Different Lands, Similar Stories",,3,CKF,Interdisciplinary,,,,,,,,,
1,Early World Civilizations,,4,CKF,Interdisciplinary,,,,,,,,,
1,Early American Civilizations,,5,CKF,Interdisciplinary,,,,,,,,,
1,Mozart & Music,,6,CKF,Interdisciplinary,,,,,,,,,
1,Astronomy,,7,CKF,Interdisciplinary,,,,,,,,,
1,The History of the Earth,,8,CKF,Interdisciplinary,,,,,,,,,
1,Animals & Habitats,,9,CKF,Interdisciplinary,,,,,,,,,
1,Fairy Tales,,10,CKF,Interdisciplinary,,,,,,,,,
1,The Birth of Our Nation,,11,CKF,Interdisciplinary,,,,,,,,,
1,Frontier Explorers,,12,CKF,Interdisciplinary,,,,,,,,,
2,Fairy Tales & Tall Tales,,1,CKF,Interdisciplinary,,,,,,,,,
2,Early Asian Civilizations,,2,CKF,Interdisciplinary,,,,,,,,,
2,Cycles in Nature,,3,CKF,Interdisciplinary,,,,,,,,,
2,The Ancient Greek Civilization,,4,CKF,Interdisciplinary,,,,,,,,,
2,Greek Myths,,5,CKF,Interdisciplinary,,,,,,,,,
2,Insects,,6,CKF,Interdisciplinary,,,,,,,,,
2,Westward Expansion,,7,CKF,Interdisciplinary,,,,,,,,,
2,U.S. Civil War,,8,CKF,Interdisciplinary,,,,,,,,,
2,Charlotte's Web I,,9,CKF,Interdisciplinary,,,,,,,,,
2,Charlotte's Web II,,10,CKF,Interdisciplinary,,,,,,,,,
2,Immigration,,11,CKF,Interdisciplinary,,,,,,,,,
2,Fighting for a Cause,,12,CKF,Interdisciplinary,,,,,,,,,
3,The Ancient Roman Civilization,,,CKF,Interdisciplinary,,,,,,,,,
3,The Vikings,,,CKF,Interdisciplinary,,,,,,,,,
3,The Earliest Americans,,,CKF,Interdisciplinary,,,,,,,,,
3,Early Exploration of North America,,,CKF,Interdisciplinary,,,,,,,,,
3,The Thirteen Colonies: Life & Times Before the Revolution,,,CKF,Interdisciplinary,,,,,,,,,
3,Intro. to Classification of Animals,,,CKF,Interdisciplinary,,,,,,,,,
3,The Human Body,,,CKF,Interdisciplinary,,,,,,,,,
3,Light & Optics,,,CKF,Interdisciplinary,,,,,,,,,
3,Sound,,,CKF,Interdisciplinary,,,,,,,,,
3,Ecology,,,CKF,Interdisciplinary,,,,,,,,,
3,Astronomy,,,CKF,Interdisciplinary,,,,,,,,,
4,Europe in the Middle Ages,,,CKF,Interdisciplinary,,,,,,,,,
4,"The Spread of Islam and the ""Holy Wars""",,,CKF,Interdisciplinary,,,,,,,,,
4,Early and Medieval African Kingdoms,,,CKF,Interdisciplinary,,,,,,,,,
4,China: Dynasties & Conquerors,,,CKF,Interdisciplinary,,,,,,,,,
4,The American Revolution,,,CKF,Interdisciplinary,,,,,,,,,
4,Making a Constitutional Government,,,CKF,Interdisciplinary,,,,,,,,,
4,Early Presidents & Politics,,,CKF,Interdisciplinary,,,,,,,,,
4,Reformers,,,CKF,Interdisciplinary,,,,,,,,,
4,The Human Body,,,CKF,Interdisciplinary,,,,,,,,,
4,Chemistry: Basic Terms & Concepts,,,CKF,Interdisciplinary,,,,,,,,,
4,Electricity,,,CKF,Interdisciplinary,,,,,,,,,
4,Geology: The Earth and Its Changes,,,CKF,Interdisciplinary,,,,,,,,,
4,Meteorology,,,CKF,Interdisciplinary,,,,,,,,,
5,Early American Civilizations,,,CKF,Interdisciplinary,,,,,,,,,
5,"European Exploration, Trade, and the Clash of Cultures",,,CKF,Interdisciplinary,,,,,,,,,
5,The Renaissance & The Reformation,,,CKF,Interdisciplinary,,,,,,,,,
5,England from the Golden Age to the Glorious Revolution,,,CKF,Interdisciplinary,,,,,,,,,
5,Russia: Early Growth & Expansion,,,CKF,Interdisciplinary,,,,,,,,,
5,Feudal Japan,,,CKF,Interdisciplinary,,,,,,,,,
5,Westward Expansion,,,CKF,Interdisciplinary,,,,,,,,,
5,"The Civil War: Causes, Conflicts, Consequences",,,CKF,Interdisciplinary,,,,,,,,,
5,Native Americans: Culture & Conflicts,,,CKF,Interdisciplinary,,,,,,,,,
5,Classifying Living Things,,,CKF,Interdisciplinary,,,,,,,,,
5,Cells: Structures & Processes,,,CKF,Interdisciplinary,,,,,,,,,
5,Plant Structures & Processes,,,CKF,Interdisciplinary,,,,,,,,,
5,Life Cycles & Reproduction,,,CKF,Interdisciplinary,,,,,,,,,
5,The Human Body,,,CKF,Interdisciplinary,,,,,,,,,
6,Lasting Ideas from Ancient Civilizations,,,CKF,Interdisciplinary,,,,,,,,,
6,The Enlightenment,,,CKF,Interdisciplinary,,,,,,,,,
6,Romanticism,,,CKF,Interdisciplinary,,,,,,,,,
6,"Immigration, Industrialization, & Urbanization",,,CKF,Interdisciplinary,,,,,,,,,
6,The French Revolution,,,CKF,Interdisciplinary,,,,,,,,,
6,Latin American Independence Movements,,,CKF,Interdisciplinary,,,,,,,,,
6,Reform,,,CKF,Interdisciplinary,,,,,,,,,
6,Plate Tectonics,,,CKF,Interdisciplinary,,,,,,,,,
6,Oceans,,,CKF,Interdisciplinary,,,,,,,,,
6,Astronomy,,,CKF,Interdisciplinary,,,,,,,,,
6,"Energy, Heat, & Heat Transfer",,,CKF,Interdisciplinary,,,,,,,,,
6,The Human Body,,,CKF,Interdisciplinary,,,,,,,,,
7,America Becomes a World Power,,,CKF,Interdisciplinary,,,,,,,,,
