Subject,ckOrder,ckCode,ckAlignCode,StrandCode,Strand/Domain,Category/Cluster,CCSS Standard,,,GRADE,STRAND,#,letter,merged for check against ckCode,PARSED CODES are grouped here - these have been checked against column C and all miskeys should be corrected as of 4/9/12
ELA,1,K.RL.1,KRL.1,RLK.1,Reading Literature,Key Ideas and Details,"With prompting and support, ask and answer questions about key details in a text.",,,K,RL,1,,K.RL.1,
ELA,2,K.RL.2,KRL.2,RLK.2,Reading Literature,Key Ideas and Details,"With prompting and support, retell familiar stories, including key details.",,,K,RL,2,,K.RL.2,
ELA,3,K.RL.3,KRL.3,RLK.3,Reading Literature,Key Ideas and Details,"With prompting and support, identify characters, settings, and major events in a story.",,,K,RL,3,,K.RL.3,
ELA,4,K.RL.4,KRL.4,RLK.4,Reading Literature,Craft and Structure,Ask and answer questions about unknown words in a text.,,,K,RL,4,,K.RL.4,
ELA,5,K.RL.5,KRL.5,RLK.5,Reading Literature,Craft and Structure,"Recognize common types of texts (e.g., storybooks, poems).",,,K,RL,5,,K.RL.5,
ELA,6,K.RL.6,KRL.6,RLK.6,Reading Literature,Craft and Structure,"With prompting and support, name the author and illustrator of a story and define the role of each in telling the story.",,,K,RL,6,,K.RL.6,
ELA,7,K.RL.7,KRL.7,RLK.7,Reading Literature,Integration of Knowledge and Ideas,"With prompting and support, describe the relationship between illustrations and the story in which they appear (e.g., what moment in a story an illustration depicts).",,,K,RL,7,,K.RL.7,
ELA,8,K.RL.8,KRL.8,RLK.8,Reading Literature,Integration of Knowledge and Ideas,(Not applicable to literature),,,K,RL,8,,K.RL.8,
ELA,9,K.RL.9,KRL.9,RLK.9,Reading Literature,Integration of Knowledge and Ideas,"With prompting and support, compare and contrast the adventures and experiences of characters in familiar stories.",,,K,RL,9,,K.RL.9,
ELA,10,K.RL.10,KRL.10,RLK.10,Reading Literature,Range of Reading and Level of Text Complexity,Actively engage in group reading activities with purpose and understanding.,,,K,RL,10,,K.RL.10,
ELA,11,K.RI.1,KRI.1,RIK.1,Reading Informational,Key Ideas and Details,"With prompting and support, ask and answer questions about key details in a text.",,,K,RI,1,,K.RI.1,
ELA,12,K.RI.2,KRI.2,RIK.2,Reading Informational,Key Ideas and Details,"With prompting and support, identify the main topic and retell key details of a text.",,,K,RI,2,,K.RI.2,
ELA,13,K.RI.3,KRI.3,RIK.3,Reading Informational,Key Ideas and Details,"With prompting and support, describe the connection between two individuals, events, ideas, or pieces of information in a text.",,,K,RI,3,,K.RI.3,
ELA,14,K.RI.4,KRI.4,RIK.4,Reading Informational,Craft and Structure,"With prompting and support, ask and answer questions about unknown words in a text.",,,K,RI,4,,K.RI.4,
ELA,15,K.RI.5,KRI.5,RIK.5,Reading Informational,Craft and Structure,"Identify the front cover, back cover, and title page of a booK",,,K,RI,5,,K.RI.5,
ELA,16,K.RI.6,KRI.6,RIK.6,Reading Informational,Craft and Structure,Name the author and illustrator of a text and define the role of each in presenting the ideas or information in a text.,,,K,RI,6,,K.RI.6,
ELA,17,K.RI.7,KRI.7,RIK.7,Reading Informational,Integration of Knowledge and Ideas,"With prompting and support, describe the relationship between illustrations and the text in which they appear (e.g., what person, place, thing, or idea in the text an illustration depicts).",,,K,RI,7,,K.RI.7,
